"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1737999975843",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","package PACKAGE_NAME;

public class searchInLinkedList {
}
","","0","1738000004943","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","","package PACKAGE_NAME;","0","1738000004956","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","","

","0","1738000004959","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Enter",,,"1738000028786","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","0","1738000028837","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","\","","1","1738000028884","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","\",,"2","1738000028888","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Action","Enter",,,"1738000028949","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","2","1738000028951","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1738000029099","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","3","1738000029103","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Up",,,"1738000029551","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Up",,,"1738000029708","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Up",,,,,
"X-Action","Right",,,"1738000030300","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Right",,,,,
"X-Action","Backspace",,,"1738000030956","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","\","1","1738000030958","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","j","","1","1738000031568","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","j",,"2","1738000031570","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","\",,"2","1738000028888","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Keystroke","j",,"2","1738000031570","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Keystroke","\",,"2","1738000028888","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"\",,,,,
"X-Keystroke","j",,"2","1738000031570","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"X-Action","Backspace",,,"1738000031908","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","j","1","1738000031910","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","i","","1","1738000032094","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"2","1738000032096","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","m","","2","1738000032206","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"3","1738000032208","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit","p","","3","1738000032334","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"4","1738000032343","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","o","","4","1738000032438","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"5","1738000032447","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","r","","5","1738000032632","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"6","1738000032640","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","t","","6","1738000032808","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"7","1738000032828","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","7","1738000033555","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"8","1738000033560","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","j","","8","1738000033903","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","j",,"9","1738000033908","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"j",,,,,
"File.Edit","a","","9","1738000033981","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"10","1738000033984","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","v","","10","1738000034069","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","v",,"11","1738000034072","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"v",,,,,
"File.Edit","a","","11","1738000034213","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"12","1738000034215","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit",".","","12","1738000034333","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",".",,"13","1738000034335","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,".",,,,,
"X-Action","Insert Inline Proposal",,,"1738000034872","searchInLinkedList.java","1.1.5 for 2021-2022 @t1",,"Insert Inline Proposal",,,,,
"File.Edit","util.Scanner;","","13","1738000034876","searchInLinkedList.java","1.1.5 for 2021-2022 @t1","Insert",,,,,,
